Ticker,Market,Company,Listing_Year,Listing_Date,Source,Notes
301386,SZSE,未来电器,2023,2023-03-29,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301386,创业板
301141,SZSE,中科磁业,2023,2023-04-03,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301141,创业板
301281,SZSE,科源制药,2023,2023-04-04,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301281,创业板
301203,SZSE,国泰环保,2023,2023-04-04,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301203,创业板
001328,SZSE,登康口腔,2023,2023-04-10,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001328,深交所主板
001367,SZSE,海森药业,2023,2023-04-10,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001367,深交所主板
001360,SZSE,南矿集团,2023,2023-04-10,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001360,深交所主板
001287,SZSE,中电港,2023,2023-04-10,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001287,深交所主板
001286,SZSE,陕西能源,2023,2023-04-10,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001286,深交所主板
301429,SZSE,森泰股份,2023,2023-04-17,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301429,创业板
301357,SZSE,北方长龙,2023,2023-04-18,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301357,创业板
301387,SZSE,光大同创,2023,2023-04-18,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301387,创业板
301307,SZSE,美利信,2023,2023-04-24,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301307,创业板
301360,SZSE,荣旗科技,2023,2023-04-25,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301360,创业板
301293,SZSE,三博脑科,2023,2023-05-05,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301293,创业板
301390,SZSE,经纬股份,2023,2023-05-08,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301390,创业板
301325,SZSE,曼恩斯特,2023,2023-05-12,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301325,创业板
001380,SZSE,华纬科技,2023,2023-05-16,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001380,深交所主板
301382,SZSE,蜂助手,2023,2023-05-17,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301382,创业板
301332,SZSE,德尔玛,2023,2023-05-18,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301332,创业板
301428,SZSE,世纪恒通,2023,2023-05-19,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301428,创业板
001324,SZSE,长青科技,2023,2023-05-22,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001324,深交所主板
301305,SZSE,朗坤科技,2023,2023-05-23,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301305,创业板
301399,SZSE,英特科技,2023,2023-05-23,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301399,创业板
